,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_max_depth,param_num_iterations,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,6.581241130828857,0.04850196838378906,0.344323992729187,0.04281008243560791,0.5,3,50,0.7982604644369431,0.791984102705297,0.79512228357112,0.0031381808658230703,84
1,9.765233039855957,0.031156063079833984,0.5161484479904175,0.0018013715744018555,0.5,3,100,0.798247093973299,0.7919914026361068,0.7951192483047029,0.0031278456685960854,85
2,14.270382404327393,0.026381492614746094,1.0581550598144531,0.09500503540039062,0.5,3,150,0.7991378268770062,0.7920051973433482,0.7955715121101772,0.003566314766829004,83
3,19.083274006843567,0.3847769498825073,1.091431975364685,0.041464924812316895,0.5,3,200,0.7991544851845787,0.7920211169329654,0.795587801058772,0.0035666841258066295,82
4,24.524747490882874,0.18211042881011963,1.188297152519226,0.1084209680557251,0.5,3,300,0.7991282968062006,0.7929719762962253,0.7960501365512129,0.0030781602549876386,81
5,9.028716444969177,0.09544050693511963,0.4720156192779541,0.07869553565979004,0.5,7,50,0.8409759204451241,0.833359682371803,0.8371678014084636,0.003808119036660562,58
6,15.912371635437012,0.265500545501709,0.8483525514602661,0.04908549785614014,0.5,7,100,0.8411840543177898,0.8336064855705623,0.837395269944176,0.0037887843736137405,51
7,26.598256468772888,0.165427565574646,1.4445699453353882,0.2475820779800415,0.5,7,150,0.8411328546715143,0.8337350813645131,0.8374339680180137,0.0036988866535005993,48
8,30.551057934761047,1.0222851037979126,1.6783705949783325,0.05552351474761963,0.5,7,200,0.8409408660373936,0.833836423902711,0.8373886449700523,0.0035522210673413213,52
9,49.28153133392334,1.0327115058898926,2.94170606136322,0.24049723148345947,0.5,7,300,0.8410048178550797,0.8337236795855704,0.837364248720325,0.00364056913475469,53
10,11.042442440986633,1.219828486442566,0.4707775115966797,0.03352952003479004,0.5,10,50,0.8433574991014277,0.8390162429438173,0.8411868710226225,0.0021706280788051924,15
11,20.18887495994568,0.29453396797180176,0.9904515743255615,0.19437837600708008,0.5,10,100,0.8436101589952931,0.8397501016807302,0.8416801303380117,0.0019300286572814795,11
12,31.349796056747437,0.5807399749755859,1.5782444477081299,0.021466493606567383,0.5,10,150,0.8435444102499188,0.8397213667172685,0.8416328884835936,0.0019115217663251416,12
13,31.114596605300903,0.676823616027832,1.7578929662704468,0.2790161371231079,0.5,10,200,0.843320485610441,0.8398462210509987,0.8415833533307199,0.0017371322797211652,13
14,49.10418403148651,0.8964418172836304,2.419489622116089,0.04526257514953613,0.5,10,300,0.8432177138853527,0.8398657626492716,0.8415417382673122,0.0016759756180405594,14
15,9.807533383369446,0.10338437557220459,0.4553990364074707,0.025708913803100586,0.5,15,50,0.8436426880460919,0.8401701330305544,0.8419064105383232,0.0017362775077687242,9
16,15.563083410263062,0.15651249885559082,0.8178188800811768,0.030678987503051758,0.5,15,100,0.8438210334156653,0.84070147104287,0.8422612522292676,0.0015597811863976574,3
17,23.29758846759796,0.36765754222869873,1.196027159690857,0.15569889545440674,0.5,15,150,0.8438550074640427,0.840700842778469,0.8422779251212559,0.0015770823427868619,1
18,30.703131675720215,0.9491105079650879,1.7332648038864136,0.04308187961578369,0.5,15,200,0.8436152766385713,0.8407176337714879,0.8421664552050296,0.0014488214335416916,5
19,48.06555354595184,0.9718853235244751,2.699429988861084,0.08017110824584961,0.5,15,300,0.8434871671317098,0.8407403141502419,0.8421137406409758,0.0013734264907339644,7
20,10.069451093673706,1.0869359970092773,0.4714548587799072,0.00012493133544921875,0.5,30,50,0.8436426880460919,0.8401701330305544,0.8419064105383232,0.0017362775077687242,9
21,15.935750246047974,0.1972653865814209,0.9199346303939819,0.27284443378448486,0.5,30,100,0.8438210334156653,0.84070147104287,0.8422612522292676,0.0015597811863976574,3
22,36.94805955886841,3.9698877334594727,1.7129504680633545,0.3651907444000244,0.5,30,150,0.8438550074640427,0.840700842778469,0.8422779251212559,0.0015770823427868619,1
23,68.18492197990417,0.35424089431762695,1.8681319952011108,0.0703660249710083,0.5,30,200,0.8436152766385713,0.8407176337714879,0.8421664552050296,0.0014488214335416916,5
24,49.61382591724396,0.817700982093811,2.545428991317749,0.022001028060913086,0.5,30,300,0.8434871671317098,0.8407403141502419,0.8421137406409758,0.0013734264907339644,7
25,5.3982789516448975,0.040743112564086914,0.309566855430603,0.024963974952697754,0.7,3,50,0.790373991453875,0.7902712562184036,0.7903226238361393,5.1367617735720295e-05,91
26,9.60314154624939,0.16681838035583496,0.5625954866409302,0.14065754413604736,0.7,3,100,0.7946889733125335,0.7911691028077409,0.7929290380601373,0.0017599352523963163,86
27,15.562543153762817,0.3225557804107666,0.7532739639282227,0.004966020584106445,0.7,3,150,0.7947175003232505,0.7906982238918627,0.7927078621075566,0.0020096382156938875,87
28,20.65839958190918,0.6753365993499756,0.8580609560012817,0.0426861047744751,0.7,3,200,0.794734823011159,0.7906528646592685,0.7926938438352138,0.0020409791759452567,89
29,23.59523105621338,0.13249897956848145,1.265354037284851,0.015550017356872559,0.7,3,300,0.7947442678528627,0.7906538790656783,0.7926990734592705,0.002045194393592187,88
30,8.807082653045654,0.0596005916595459,0.3753929138183594,0.022202014923095703,0.7,7,50,0.8375854200118411,0.8316905204235077,0.8346379702176744,0.0029474497941667233,70
31,14.567349314689636,0.1299673318862915,0.6675601005554199,0.04473996162414551,0.7,7,100,0.8386660220052609,0.8328205471374116,0.8357432845713362,0.002922737433924627,66
