loss,params:bagging_fraction,params:bagging_freq,params:boosting_type,params:learning_rate,params:max_depth,params:num_boost_round,params:objective,status
0.2006530130565909,0.7266409683041658,4,rf,0.010813929380508553,27,500,binary,ok
0.19955517123631739,0.5731927993790715,11,rf,0.03443560256040207,7,150,binary,ok
0.20077648177914098,0.6794248751911931,18,rf,0.006114900879216385,14,200,binary,ok
0.20123510006690593,0.6440173312454063,19,rf,0.03447753487131953,15,100,binary,ok
0.20346497150670995,0.8455290951115421,15,rf,0.02224052060624409,21,200,binary,ok
0.2006772154611407,0.6539100399866398,20,rf,0.054253834704313705,6,150,binary,ok
0.2022984890027315,0.9104299393269601,2,rf,0.023462817463115817,6,200,binary,ok
0.19947657154392784,0.5321478920777403,13,rf,0.013710463435253123,24,300,binary,ok
0.20143092467486434,0.8001171327017884,3,rf,0.08348691785506011,8,500,binary,ok
0.19887801493177448,0.6176100905307353,3,rf,0.03334942735785801,18,300,binary,ok
0.20233110551473155,0.8081268304291569,17,rf,0.0013360375734064664,23,200,binary,ok
0.20091538307599854,0.6473779286345305,20,rf,0.0016959216657313032,16,300,binary,ok
0.20225106381078606,0.7799105034501382,8,rf,0.0017716507159775414,8,300,binary,ok
0.20056350904187425,0.6043285587426398,16,rf,0.06571745361640799,30,500,binary,ok
0.20155649858550106,0.80643271557313,6,rf,0.01876812148942513,29,200,binary,ok
0.19890197616376482,0.5310899877898897,11,rf,0.004544416058034965,7,200,binary,ok
0.1981649975542975,0.5227072942963443,4,rf,0.0019136450211213899,28,300,binary,ok
0.20005262478841168,0.6904101198556829,15,rf,0.022669672552931,22,500,binary,ok
0.19889543723364989,0.6002048349912287,16,rf,0.009529541320357379,23,500,binary,ok
0.19858047503689547,0.5157728027076555,17,rf,0.003355662577890584,20,300,binary,ok
0.20761165997560782,0.9893024221562206,8,rf,0.003113825287822884,12,300,binary,ok
0.1985711107641297,0.5005653559693467,8,rf,0.0010059970007755372,26,300,binary,ok
0.19963778689438616,0.5610808945925525,7,rf,0.0010411489029256437,27,100,binary,ok
0.19830990200681453,0.510910127937049,5,rf,0.0022593425020201044,26,300,binary,ok
0.1982200394455097,0.5032880255053097,5,rf,0.002342032912542005,29,300,binary,ok
0.19792413773461803,0.5582495411691132,1,rf,0.005536772888627463,30,300,binary,ok
0.19912291468012222,0.5638325846132809,2,rf,0.006304339479867176,29,100,binary,ok
0.20087702298119836,0.7166069485841672,2,rf,0.006098415166260265,19,150,binary,ok
