,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,18.35230318705241,2.38424044643611,1.4741929372151692,0.1882729031162932,7,sqrt,100,0.7630420230967188,0.7650298953322994,0.7507166725076432,0.7595961969788871,0.0063310017708001955,9
1,22.49105167388916,0.195574101889181,1.8461940288543701,0.058244173813621944,7,sqrt,150,0.7641312180788795,0.7608739575064704,0.7490975133141233,0.7580342296331578,0.006457611040950807,11
2,29.027350266774494,0.4237286969495142,2.67519211769104,0.29555215720122,7,sqrt,200,0.7671811816282161,0.7577256106229926,0.7504017474642595,0.7584361799051561,0.006868577448264172,10
3,43.90030471483866,0.3671250646681844,3.5984702905019126,0.05847824314593389,7,sqrt,300,0.7636497548783303,0.7571252505899704,0.7516246167139377,0.7574665407274127,0.004915170135178082,12
4,7.114942630132039,0.1158041742693949,1.314557631810506,0.08940516036525055,7,log2,100,0.7388783672314481,0.7187494374731836,0.7063006637461113,0.7213094894835811,0.013422421312033209,21
5,10.915935754776001,0.1233268441510684,1.8867127100626628,0.04999877707383515,7,log2,150,0.741017458947613,0.7189718835654477,0.7121196035450992,0.72403631535272,0.012329040614530088,18
6,14.449262777964273,0.09702810678535619,2.469475269317627,0.05063612018441762,7,log2,200,0.7380251698833044,0.7166195573046704,0.7087069048949396,0.7211172106943048,0.012384448042927626,22
7,21.709203402201336,0.47329553511788236,3.9712933699289956,0.18685820392937988,7,log2,300,0.7457005104791581,0.7215775439971991,0.6956224796778028,0.7209668447180532,0.0204488305687234,23
8,22.872332016626995,0.3604546117164044,1.3937491575876872,0.0595020617800787,10,sqrt,100,0.7702666358194137,0.7802911250999311,0.7594683964741034,0.7700087191311494,0.008502799445664191,6
9,34.39189704259237,1.263464514836657,2.214843193689982,0.27498422647459636,10,sqrt,150,0.7727009634112343,0.7755813768593474,0.7585306842865482,0.7689376748523765,0.0074522159964200575,7
10,44.16836500167847,0.6343361354458474,2.8479456901550293,0.08226915933135791,10,sqrt,200,0.7747835761423053,0.7755278306350926,0.7599488572806997,0.7700867546860325,0.007175012266577148,5
11,68.22285962104797,2.3311149946528973,4.417309761047363,0.401934522646798,10,sqrt,300,0.772894384702728,0.7731702595885389,0.7595910948004183,0.7685519130305618,0.006337256201933049,8
12,11.027319749196371,0.5963146949919383,1.4114930629730225,0.0116371546677318,10,log2,100,0.7397688072998001,0.7017928776917818,0.7094210943546972,0.716994259782093,0.016402386682864537,24
13,15.572287718454996,0.4338152952839108,2.168179670969645,0.057082695521317575,10,log2,150,0.7467501415041525,0.7093923412473,0.710849717270934,0.7223307333407956,0.01727737648882754,20
14,20.950069665908813,0.05047927017903106,2.946906884511312,0.011832894134120912,10,log2,200,0.7448159853907103,0.7087929476700414,0.7145652204273396,0.7227247178293638,0.01579763400104399,19
15,30.316063006718952,0.5083806722231518,4.218798319498698,0.3013206503284788,10,log2,300,0.7488920896874756,0.7192482292959678,0.7141977731834416,0.727446030722295,0.015304179398444083,17
16,38.39459443092346,1.053345996690176,1.6887236436208088,0.03593687877894436,15,sqrt,100,0.7915747573674747,0.7875610855704492,0.7722000237817506,0.7837786222398915,0.008349664544746989,1
17,58.009180227915444,1.0882689023103,2.4707190990448,0.0466421040005909,15,sqrt,150,0.7893732491944445,0.7852112926818814,0.7705757315072033,0.781720091127843,0.008061349515588841,2
18,76.36053307851155,0.9495235925069628,3.4602793057759604,0.013462973852866955,15,sqrt,200,0.789169788524517,0.7841470354072,0.7705913842781286,0.7813027360699486,0.007846732021483976,3
19,119.20530462265015,2.0280721875491525,5.1990095774332685,0.21069293970263778,15,sqrt,300,0.7877233681740976,0.7841310261723144,0.7696152967437191,0.7804898970300437,0.007828108703254044,4
20,16.436306794484455,0.18965679230483765,1.6560572783152263,0.04527881990991633,15,log2,100,0.7490489418711281,0.7212460302267164,0.7218336261812484,0.7307095327596976,0.012970139093799541,16
21,24.715304851531982,0.33556775284288154,2.5917784372965493,0.04817134019002246,15,log2,150,0.7548508052183447,0.7299555408541432,0.7227094775750208,0.7358386078825029,0.013765272582698924,14
22,33.07221873601278,0.546860802115926,3.2576276461283364,0.12187474446691499,15,log2,200,0.7516168852602844,0.7266885867831283,0.7205787784925113,0.732961416845308,0.013425158364644073,15
23,48.75604168574015,5.223874046709503,4.555211226145427,0.9323555214062664,15,log2,300,0.7538357724036594,0.7298701660200662,0.72465545550836,0.7361204646440284,0.01270622939595781,13
