loss,params:boosting_type,params:learning_rate,params:max_depth,params:num_boost_round,params:objective,params:subsample,status
0.18564319778060012,gbdt,0.002412328418503243,7,200,binary,0.8248634437312539,ok
0.16676997609829558,gbdt,0.011443856982384162,10,200,binary,0.7744044455295506,ok
0.16886633760388337,gbdt,0.019432369814710315,29,100,binary,0.7086884705341783,ok
0.15985155100962822,gbdt,0.03961270340395006,18,100,binary,0.564872006280588,ok
0.195074240389582,gbdt,0.0015170877731064227,19,100,binary,0.5674006478044135,ok
0.19077423432398544,gbdt,0.0017410830189944727,9,150,binary,0.7852875356967659,ok
0.17922624508317242,gbdt,0.008852072826164478,8,100,binary,0.8541791289375233,ok
0.1633868432647002,gbdt,0.009950236882361074,27,300,binary,0.9412912805613123,ok
0.16368570826881612,gbdt,0.02877647076855856,28,100,binary,0.532504629708985,ok
0.15181862894317522,gbdt,0.06803174876464334,6,500,binary,0.813978400356963,ok
0.19606089240254188,gbdt,0.0012529917809104725,15,100,binary,0.8191150982767974,ok
0.1792717647565869,gbdt,0.0017440983541856863,16,500,binary,0.673680726678491,ok
0.17436292377432183,gbdt,0.004384185740044898,23,300,binary,0.9212910388883817,ok
0.15354060710935657,gbdt,0.05730975892652386,17,150,binary,0.9430750731440795,ok
0.18828362934191378,gbdt,0.0012496449589942153,28,300,binary,0.5943004654504442,ok
0.15146362203308028,gbdt,0.04093986654850196,24,300,binary,0.5535673686514941,ok
0.15207356946106876,gbdt,0.03942613201724874,8,500,binary,0.8960851900387921,ok
0.17756714705240473,gbdt,0.01073774147450344,7,100,binary,0.8042154387467946,ok
0.18777148465434212,gbdt,0.0013260925111718217,16,300,binary,0.9443306819772811,ok
0.1497268390853762,gbdt,0.07670161449193481,25,500,binary,0.7842708126668274,ok
0.14980176284069557,gbdt,0.09156631358358741,24,500,binary,0.6420321505430232,ok
0.14961818777981428,gbdt,0.09340657963458324,22,500,binary,0.6614019121737534,ok
0.1497474790337029,gbdt,0.09491960708768778,21,500,binary,0.7262206944198973,ok
0.15316376427397815,gbdt,0.020391059530743577,12,500,binary,0.9951391919396482,ok
0.14985669114503264,gbdt,0.0951759632204558,26,500,binary,0.6632167383507173,ok
0.14942135564562842,gbdt,0.07037594972866239,21,500,binary,0.7442114888507387,ok
0.14955665116836603,gbdt,0.05385929731317598,21,500,binary,0.6184266931554481,ok
0.1538829515635739,gbdt,0.0520357969158765,20,150,binary,0.623312140062683,ok
0.18094849755927067,gbdt,0.003791994458630727,13,200,binary,0.7353989627432612,ok
0.15810913867042464,gbdt,0.02260235119439134,21,200,binary,0.7002659573746588,ok
0.15444166767191636,gbdt,0.015082387900106029,14,500,binary,0.500003955881981,ok
0.1556437001477855,gbdt,0.0294746625650706,19,200,binary,0.8597740801103179,ok
0.16073209386442133,gbdt,0.007337293246720142,30,500,binary,0.7545947096070577,ok
0.1543520891299558,gbdt,0.01402440054657026,18,500,binary,0.6016268217349068,ok
0.17858686439958615,gbdt,0.006235192126297227,11,150,binary,0.5212949105608236,ok
0.15525515837306758,gbdt,0.030342297601017528,22,200,binary,0.6994406155713683,ok
0.14929166924208115,gbdt,0.0506651445584763,19,500,binary,0.7576475489708654,ok
0.15499382094020897,gbdt,0.04351775220986476,19,150,binary,0.7558599388084433,ok
0.14929634738539732,gbdt,0.07150338197890478,17,500,binary,0.8550381950276417,ok
0.1540358379076996,gbdt,0.016011663648391232,14,500,binary,0.8488357098078387,ok
0.18568685927056328,gbdt,0.0024843032701706205,10,200,binary,0.998716951486424,ok
0.16584336231300478,gbdt,0.02451537824117693,16,100,binary,0.8965319160488929,ok
0.15068831036839514,gbdt,0.03809339896025668,12,500,binary,0.9747572773917152,ok
0.15014923582523387,gbdt,0.07418368363856404,18,300,binary,0.8438642447886103,ok
0.157390594571857,gbdt,0.03322416761238901,15,150,binary,0.8798294270571922,ok
0.17493745434756092,gbdt,0.01260538606207401,17,100,binary,0.7723636961642647,ok
0.15273640799567412,gbdt,0.01800105265716894,26,500,binary,0.8089614387254346,ok
0.1503632940998907,gbdt,0.059066429709834965,23,300,binary,0.8309417407907961,ok
0.1591363272122952,gbdt,0.008337820482433164,19,500,binary,0.9216054244435345,ok
0.18473303985851952,gbdt,0.005457179738351026,9,100,binary,0.9703170472701216,ok
0.15490403565458644,gbdt,0.04873300677962523,5,500,binary,0.87253458190605,ok
0.16033678155242814,gbdt,0.025566754743463774,15,150,binary,0.7152550451662407,ok
0.18005476642434193,gbdt,0.0027213938586745524,28,300,binary,0.7973377253718976,ok
0.14954607261651442,gbdt,0.06657398486450826,24,500,binary,0.775079484398136,ok
0.15362529156628268,gbdt,0.083809774517473,17,100,binary,0.6774427162825778,ok
0.15771768856044177,gbdt,0.009706362832836104,14,500,binary,0.9225480303345746,ok
0.15450389833930211,gbdt,0.034063629865827255,20,200,binary,0.8277279629851562,ok
0.15032803384494553,gbdt,0.046126364348486174,11,500,binary,0.9643807767146755,ok
0.15565661090527572,gbdt,0.01919159574866783,26,300,binary,0.8918061297470655,ok
0.1514869716277597,gbdt,0.05914650594952545,7,500,binary,0.6896788545067798,ok
0.15153492024337656,gbdt,0.0994409687361681,16,150,binary,0.6478093399089189,ok
0.1697434243352377,gbdt,0.003643082203435718,23,500,binary,0.5758552634690465,ok
0.15387882555051935,gbdt,0.07944189551636092,20,100,binary,0.7975466295878791,ok
0.1662020978371337,gbdt,0.011840436102156703,13,200,binary,0.721211121069463,ok
0.17964123839427637,gbdt,0.0016905156311033283,30,500,binary,0.9080709764947197,ok
