,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_max_depth,param_num_iterations,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,7.760663827260335,0.5028505797459316,0.21373907725016275,0.0075793219580963765,0.5,3,50,0.7944931766585838,0.8010994030199317,0.782530445041663,0.7927076749067261,0.007685161567553042,85
1,11.618800322214762,0.34254153309533253,0.3686548074086507,0.05919798291029449,0.5,3,100,0.7953973760315041,0.8010742339956254,0.7824951646407222,0.792988924889284,0.007773713492787589,84
2,15.937986691792807,0.31101370725098393,0.45731568336486816,0.006399705480456773,0.5,3,150,0.795313442481913,0.8015428030120102,0.7830394744331359,0.7932985733090198,0.0076871349436294385,81
3,20.72202746073405,0.29611703300309467,0.630715529123942,0.06195294073120499,0.5,3,200,0.7953325956412547,0.801556832823493,0.782567035400002,0.7931521546215832,0.007904380381640937,83
4,29.470990260442097,1.095078433060875,0.9618384043375651,0.015751145591270506,0.5,3,300,0.7956965030002172,0.801527289395465,0.7825907919120382,0.7932715281025735,0.007918674622923947,82
5,13.060237407684326,0.9274079219879838,0.27550117174784344,0.007129403948988116,0.5,7,50,0.8461455175649082,0.8495009026475713,0.8319647846973846,0.842537068303288,0.007600199021340634,58
6,22.966598590215046,1.056691636158198,0.5839480559031168,0.07038749932337933,0.5,7,100,0.8461818102896334,0.8495845085054177,0.8323759649223968,0.8427140945724827,0.007440980324456019,55
7,32.83144895235697,0.6403585070331882,0.8283199469248453,0.06047149071690257,0.5,7,150,0.8463877202857972,0.8495917441519429,0.8321634578840829,0.8427143074406077,0.007574376190244879,54
8,43.123192389806114,1.3724041814551122,1.014415979385376,0.011532074482199528,0.5,7,200,0.8463134292666067,0.84962486213194,0.8321482054202787,0.8426954989396084,0.007579597497781983,56
9,62.817505757013954,1.683303362723774,1.589494784673055,0.043170633006992525,0.5,7,300,0.84637834270197,0.8496651974587082,0.8319201191913004,0.8426545531173262,0.007708086979795239,57
10,13.28292695681254,0.7265231733384846,0.2847701708475749,0.013971003431700007,0.5,10,50,0.8492391241049877,0.8535254192642938,0.8385960063568223,0.8471201832420346,0.006276372371891457,15
11,23.8825577100118,0.8430363068758854,0.5159601370493571,0.004198549581902041,0.5,10,100,0.8493670479350024,0.8538175939008728,0.8392487048303281,0.8474777822220677,0.006095907145400195,9
12,35.05501834551493,1.4693988223760315,0.8191216786702474,0.0383744322948297,0.5,10,150,0.849340869688675,0.853664646843507,0.8386992154450121,0.8472349106590648,0.0062884726185596365,12
13,46.54446562131246,2.1672685131401757,1.0914274056752522,0.05664314045054339,0.5,10,200,0.84933573582464,0.8537243764784257,0.8385069750031277,0.8471890291020645,0.006395237250207582,13
14,79.33800339698792,5.6427013169485,1.7289408842722576,0.12945701973499552,0.5,10,300,0.8494676715938472,0.8537245186827649,0.8383685987437255,0.8471869296734459,0.006473144886073738,14
15,15.927328109741211,0.6185844779481331,0.2779201666514079,0.01825366918552481,0.5,15,50,0.8493350279026444,0.8534522865844705,0.8395886200941707,0.8474586448604285,0.005813256237795464,10
16,31.245967229207356,2.709274075299563,0.5884964466094971,0.012107591527948661,0.5,15,100,0.8495114243754002,0.8536551073341883,0.8397876501260739,0.8476513939452207,0.005812135422580099,5
17,44.217667738596596,1.8275151955256808,0.8712512652079264,0.061691009894738275,0.5,15,150,0.8495021992788097,0.853464223361577,0.8399776175860002,0.8476480134087957,0.005659837321977563,7
18,50.140341997146606,3.332480269726288,1.1268870830535889,0.03915721841210172,0.5,15,200,0.8495100249237871,0.8535242027118906,0.8400748197799043,0.847703015805194,0.005637401102092466,1
19,70.95560828844707,3.6896718062158707,1.6673460006713867,0.09350371330534447,0.5,15,300,0.8495615820021047,0.8535647134113025,0.839916665680005,0.8476809870311374,0.005728279544072792,3
20,13.285158475240072,0.4539259246524821,0.28711795806884766,0.011958991497029227,0.5,30,50,0.8493350279026444,0.8534522865844705,0.8395886200941707,0.8474586448604285,0.005813256237795464,10
21,24.95385495821635,1.9368991212916478,0.5989393393198649,0.020528750709845656,0.5,30,100,0.8495114243754002,0.8536551073341883,0.8397876501260739,0.8476513939452207,0.005812135422580099,5
22,36.39919304847717,1.4742326373842174,0.8248551686604818,0.007823920746690236,0.5,30,150,0.8495021992788097,0.853464223361577,0.8399776175860002,0.8476480134087957,0.005659837321977563,7
23,48.463688135147095,1.9648701575247531,1.1206285953521729,0.06267698071005463,0.5,30,200,0.8495100249237871,0.8535242027118906,0.8400748197799043,0.847703015805194,0.005637401102092466,1
24,75.55316932996114,7.103513318590841,1.6635010242462158,0.1035769338705137,0.5,30,300,0.8495615820021047,0.8535647134113025,0.839916665680005,0.8476809870311374,0.005728279544072792,3
25,6.988495349884033,0.10420480775710679,0.20125031471252441,0.010914964448678892,0.7,3,50,0.7907070131181865,0.7997428967659204,0.7809404811995982,0.7904634636945683,0.007677985630944122,90
26,12.50971531867981,0.3677806514539505,0.3618283271789551,0.03407195416800731,0.7,3,100,0.7907904160121944,0.8005333386323321,0.7819022911133544,0.7910753485859603,0.007608761302704314,88
27,19.11300253868103,0.5017969881476201,0.42566196123758954,0.01268160403078053,0.7,3,150,0.7906816491537019,0.8005460882235171,0.7819282428333939,0.7910519934035376,0.0076052134701651885,89
28,24.291301250457764,0.07627642250769176,0.6270670096079508,0.013458642165760565,0.7,3,200,0.7909689858092885,0.8004948721679523,0.7819023925244917,0.7911220835005776,0.007591119987653703,87
